channel,energy_ev,abacus_minus_cohp,lobster_minus_pcohp,lobster_scaled_minus_pcohp
Pt-C_total,0.469920,-1.4025028492e-02,-5.5411160615e-01,-1.3697761967e-02
Pt-C_total,0.519920,-1.4849091762e-02,-4.9969382605e-01,-1.2352542358e-02
Pt-C_total,0.569920,-1.6285159692e-02,-4.4737127694e-01,-1.1059117323e-02
Pt-C_total,0.619920,-1.8519861443e-02,-4.1046347696e-01,-1.0146748311e-02
Pt-C_total,0.669920,-2.1629164089e-02,-4.0500354948e-01,-1.0011777691e-02
Pt-C_total,0.719920,-2.5506986826e-02,-4.4501438859e-01,-1.1000854520e-02
Pt-C_total,0.769920,-2.9833637201e-02,-5.3633601636e-01,-1.3258345440e-02
Pt-C_total,0.819920,-3.4107476915e-02,-6.7149266959e-01,-1.6599447925e-02
Pt-C_total,0.869920,-3.7742386969e-02,-8.2854194494e-01,-2.0481740891e-02
Pt-C_total,0.919920,-4.0208001118e-02,-9.7575329609e-01,-2.4120838185e-02
Pt-C_total,0.969920,-4.1170732674e-02,-1.0810637084e+00,-2.6724134965e-02
Pt-C_total,1.019920,-4.0590711877e-02,-1.1219878033e+00,-2.7735787680e-02
Pt-C_total,1.069920,-3.8744645968e-02,-1.0917460303e+00,-2.6988204336e-02
Pt-C_total,1.119920,-3.6170132034e-02,-9.9934114924e-01,-2.4703935154e-02
Pt-C_total,1.169920,-3.3551239020e-02,-8.6520585278e-01,-2.1388080835e-02
Pt-C_total,1.219920,-3.1578738965e-02,-7.1532307662e-01,-1.7682945321e-02
Pt-C_total,1.269920,-3.0818854412e-02,-5.7582170158e-01,-1.4234440348e-02
Pt-C_total,1.319920,-3.1615988248e-02,-4.6862268156e-01,-1.1584456765e-02
Pt-C_total,1.369920,-3.4043738799e-02,-4.0779952723e-01,-1.0080894882e-02
Pt-C_total,1.419920,-3.7908324697e-02,-3.9722143655e-01,-9.8194021309e-03
Pt-C_total,1.469920,-4.2799935002e-02,-4.3062215440e-01,-1.0645075294e-02
Pt-C_total,1.519920,-4.8180103480e-02,-4.9520905028e-01,-1.2241677704e-02
Pt-C_total,1.569920,-5.3487673970e-02,-5.7737076002e-01,-1.4272733417e-02
Pt-C_total,1.619920,-5.8243668067e-02,-6.6689758029e-01,-1.6485856297e-02
Pt-C_total,1.669920,-6.2136642821e-02,-7.5689351556e-01,-1.8710575804e-02
Pt-C_total,1.719920,-6.5073459423e-02,-8.4038969479e-01,-2.0774619898e-02
Pt-C_total,1.769920,-6.7184336456e-02,-9.0853435754e-01,-2.2459171096e-02
Pt-C_total,1.819920,-6.8776378246e-02,-9.5348834032e-01,-2.3570443534e-02
Pt-C_total,1.869920,-7.0238967480e-02,-9.7345544294e-01,-2.4064034745e-02
Pt-C_total,1.919920,-7.1918457975e-02,-9.7447052464e-01,-2.4089127790e-02
Pt-C_total,1.969920,-7.3994766355e-02,-9.6656813847e-01,-2.3893779049e-02
Pt-C_total,2.019920,-7.6400882978e-02,-9.5748597247e-01,-2.3669265889e-02
Pt-C_total,2.069920,-7.8820625825e-02,-9.4898801277e-01,-2.3459194437e-02
Pt-C_total,2.119920,-8.0778499703e-02,-9.3747918213e-01,-2.3174693588e-02
Pt-C_total,2.169920,-8.1804344128e-02,-9.1686560854e-01,-2.2665121471e-02
Pt-C_total,2.219920,-8.1625835721e-02,-8.8133842609e-01,-2.1786881630e-02
Pt-C_total,2.269920,-8.0325477713e-02,-8.2779446927e-01,-2.0463263126e-02
Pt-C_total,2.319920,-7.8402919349e-02,-7.5898904249e-01,-1.8762377695e-02
Pt-C_total,2.369920,-7.6708989194e-02,-6.8690902055e-01,-1.6980543544e-02
Pt-C_total,2.419920,-7.6258074756e-02,-6.3332930567e-01,-1.5656041093e-02
Pt-C_total,2.469920,-7.7967936450e-02,-6.2504061839e-01,-1.5451142903e-02
Pt-C_total,2.519920,-8.2405771154e-02,-6.8408162011e-01,-1.6910649578e-02
Pt-C_total,2.569920,-8.9623925355e-02,-8.1740570916e-01,-2.0206450669e-02
Pt-C_total,2.619920,-9.9143214912e-02,-1.0112972626e+00,-2.4999492931e-02
Pt-C_total,2.669920,-1.1009214279e-01,-1.2340748713e+00,-3.0506604896e-02
Pt-C_total,2.719920,-1.2145276389e-01,-1.4461912350e+00,-3.5750168516e-02
Pt-C_total,2.769920,-1.3232120921e-01,-1.6145033413e+00,-3.9910881164e-02
