# Energy(eV) minus_pCOHP_up minus_pCOHP_down minus_pCOHP_sum
-1.072682000000000002e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.067669000000000068e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.062656999999999918e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.057643999999999984e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.052632000000000012e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.047619000000000078e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.042606999999999928e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.037593999999999994e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.032581000000000060e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.027569000000000088e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.022555999999999976e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.017544000000000004e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.012531000000000070e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.007518999999999920e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.002505999999999986e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-9.974940000000000140e+00 1.000000000000000082e-05 1.000000000000000082e-05 2.000000000000000164e-05
-9.924810000000000798e+00 5.000000000000000240e-05 6.999999999999999387e-05 1.199999999999999895e-04
-9.874689999999999301e+00 2.500000000000000052e-04 2.999999999999999737e-04 5.499999999999999247e-04
-9.824559999999999960e+00 1.020000000000000073e-03 1.219999999999999947e-03 2.239999999999999804e-03
-9.774440000000000239e+00 3.720000000000000216e-03 4.349999999999999700e-03 8.070000000000000784e-03
-9.724309999999999121e+00 1.200000000000000025e-02 1.379000000000000017e-02 2.579000000000000042e-02
-9.674189999999999401e+00 3.434999999999999859e-02 3.880999999999999728e-02 7.316000000000000281e-02
-9.624060000000000059e+00 8.719000000000000361e-02 9.682999999999999940e-02 1.840200000000000169e-01
-9.573930000000000717e+00 1.962200000000000055e-01 2.142499999999999960e-01 4.104700000000000015e-01
-9.523809999999999221e+00 3.915199999999999791e-01 4.203899999999999859e-01 8.119099999999999095e-01
-9.473679999999999879e+00 6.926299999999999679e-01 7.314399999999999791e-01 1.424069999999999947e+00
-9.423560000000000159e+00 1.086300000000000043e+00 1.128419999999999979e+00 2.214719999999999800e+00
-9.373430000000000817e+00 1.510299999999999976e+00 1.543430000000000080e+00 3.053729999999999833e+00
-9.323309999999999320e+00 1.861240000000000006e+00 1.871490000000000098e+00 3.732730000000000103e+00
-9.273179999999999978e+00 2.032950000000000035e+00 2.011530000000000040e+00 4.044480000000000075e+00
-9.223060000000000258e+00 1.967840000000000034e+00 1.916239999999999943e+00 3.884079999999999977e+00
-9.172929999999999140e+00 1.687869999999999981e+00 1.617729999999999890e+00 3.305600000000000094e+00
-9.122809999999999420e+00 1.282690000000000108e+00 1.210150000000000059e+00 2.492840000000000167e+00
-9.072680000000000078e+00 8.635500000000000398e-01 8.020300000000000207e-01 1.665580000000000060e+00
-9.022560000000000358e+00 5.149599999999999733e-01 4.708700000000000108e-01 9.858299999999999841e-01
-8.972429999999999239e+00 2.719799999999999995e-01 2.448500000000000121e-01 5.168300000000000116e-01
-8.922309999999999519e+00 1.272000000000000075e-01 1.127599999999999991e-01 2.399600000000000066e-01
-8.872180000000000177e+00 5.267999999999999766e-02 4.598000000000000004e-02 9.865999999999999770e-02
-8.822060000000000457e+00 1.931000000000000077e-02 1.659000000000000058e-02 3.590000000000000135e-02
-8.771929999999999339e+00 6.259999999999999939e-03 5.290000000000000431e-03 1.155000000000000124e-02
-8.721799999999999997e+00 1.770000000000000089e-03 1.440000000000000091e-03 3.210000000000000180e-03
-8.671680000000000277e+00 3.800000000000000209e-04 2.300000000000000070e-04 6.100000000000000821e-04
-8.621549999999999159e+00 -9.000000000000000567e-05 -2.599999999999999772e-04 -3.499999999999999964e-04
-8.571429999999999438e+00 -4.000000000000000192e-04 -6.999999999999999929e-04 -1.100000000000000066e-03
-8.521300000000000097e+00 -8.300000000000000086e-04 -1.309999999999999967e-03 -2.139999999999999975e-03
-8.471180000000000376e+00 -1.469999999999999953e-03 -2.190000000000000106e-03 -3.660000000000000059e-03
-8.421049999999999258e+00 -2.350000000000000092e-03 -3.299999999999999982e-03 -5.650000000000000508e-03
-8.370929999999999538e+00 -3.459999999999999968e-03 -4.610000000000000382e-03 -8.070000000000000784e-03
-8.320800000000000196e+00 -4.780000000000000394e-03 -6.080000000000000335e-03 -1.086000000000000160e-02
-8.270680000000000476e+00 -6.289999999999999584e-03 -7.660000000000000142e-03 -1.395000000000000059e-02
